A0A2U3U0J3	0	chr1	+	65419	71585	65433,65573	65520,69037
O14980	0	chr2	-	61704984	61765491	61706101,61708416,61709674,61710226,61711240,61713097,61715406,61715906,61717911,61719333,61719616,61719883,61720188,61721226,61722748,61724142,61725927,61726048,61727029,61729175,61729445,61749818,61753656,61761038	61708320,61709515,61710092,61711072,61712903,61715300,61715723,61717777,61719170,61719460,61719702,61720050,61721029,61722590,61724014,61725808,61726000,61726848,61729131,61729384,61749746,61753555,61760907,61764697
Q3B820	0	chr2	-	62051983	62081195	62053734,62054393,62063244,62065840,62067716,62069495	62054239,62063145,62065673,62066556,62069257,62080994
P50991	0	chr2	-	62095220	62115791	62095841,62096688,62099451,62099723,62100247,62100428,62103369,62104187,62104649,62106146,62107529,62110683,62112207	62096575,62099217,62099593,62100137,62100332,62103230,62104055,62104528,62106004,62107421,62110594,62112155,62115516
Q8N668	0	chr2	+	62132809	62363193	62132993,62228117	62227836,62362966
Q9NY97	0	chr2	+	62423250	62451866	62423490	62449347
Q86X19	0	chr2	-	62727353	62733330	62728622,62729685,62729929	62729572,62729826,62733165
Q8NDI1	0	chr2	+	62932848	63273622	62933187,62934430,62974587,62991496,62998527,63053403,63058293,63086426,63092106,63101667,63170031,63170985,63176297,63182795,63206470,63217975,63220803,63221112,63223901,63264769,63265951,63272315	62934032,62974530,62991401,62998474,63053222,63058154,63086304,63091866,63101481,63169853,63170937,63175395,63182652,63206323,63217851,63220665,63221006,63223778,63264670,63265878,63272201,63272545
P32242	0	chr2	+	63277965	63284966	63278032,63278452,63280222,63281333	63278384,63280015,63281182,63282636
O95876	0	chr2	-	63346694	63815611	63349191,63380080,63380709,63401967,63486544,63540446,63605644,63609229,63631792,63661070,63664688,63667005,63711797,63712121,63713720,63714628,63720074	63380049,63380630,63401805,63486442,63540383,63605521,63609041,63631183,63660879,63664555,63666891,63711738,63712051,63713676,63714581,63719990,63815331
V9HWF2	0	chr2	+	63816097	63834331	63816180,63821720,63822653,63824708,63826426,63832006,63832527,63833162	63821622,63822557,63824533,63826304,63831830,63832414,63833073,63833996
Q16851	0	chr2	+	64069030	64118694	64069338,64083567,64085070,64109785,64111227,64113020,64113672,64114778,64117319	64083440,64084963,64109600,64111094,64112723,64113475,64114536,64117215,64118254
Q9P1Q0	0	chr2	-	64119284	64246562	64120669,64124724,64126715,64139559,64139795,64140444,64141421,64144097,64147129,64147761,64148469,64161147,64169695,64171789,64174624,64176297,64189577,64193100,64196125,64199378,64209021,64211153	64124630,64126608,64139479,64139674,64140357,64141316,64144034,64147017,64147580,64148340,64160807,64169599,64171734,64174517,64176171,64189192,64192969,64196091,64199300,64208780,64210998,64246072
Q96FA3	0	chr2	-	64319786	64371554	64322402,64323447,64323744,64327633,64331964,64335513	64323259,64323547,64327532,64331835,64335374,64371215
Q3ZCW2	0	chr2	+	64681296	64688515	64681715,64682549,64682811,64683599	64682478,64682723,64683422,64685419
Q6ULP2	0	chr2	+	64751462	64820139	64751746,64780543,64794847,64796352,64796813,64800202,64806680,64808407,64812679	64778577,64794696,64796226,64796757,64800080,64806620,64808324,64812556,64819022
Q14140	0	chr2	-	64858755	64881047	64864009	64880754
P43007	0	chr2	+	65216533	65250999	65217304,65228624,65231149,65237897,65243807,65245399,65245813	65228582,65231087,65237731,65243574,65245205,65245679,65248046
Q76N32	0	chr2	+	65283550	65314138	65283662,65296935,65300114,65301538,65305098,65309843	65296533,65298588,65301416,65305002,65309670,65310773
Q5U0I6	0	chr2	-	65313988	65357240	65315824,65316204,65318212,65325200,65331940	65316073,65318117,65325105,65331868,65357027
P61160	0	chr2	+	65454965	65498387	65455091,65467096,65473873,65478233,65480998,65482828,65488526,65492309	65466986,65473658,65478161,65480862,65482679,65488381,65492177,65495698
Q7Z698	0	chr2	-	65537985	65659733	65541303,65544017,65559185,65561907,65572030	65543868,65559121,65561739,65571853,65659096
O00470	0	chr2	+	66662257	66801001	66663000,66665095,66667116,66667744,66668596,66670180,66691352,66739426,66775151,66794643,66795888,66796277	66664869,66666975,66667694,66668546,66670034,66691241,66739281,66775075,66794585,66795799,66796182,66798378
Q9NY74	0	chr2	+	67624465	67639221	67624803,67626429,67626758,67630106,67632467	67626301,67626682,67629994,67630357,67637043
Q13901	0	chr2	-	68268262	68290136	68270185,68273175,68273542,68274451	68273120,68273476,68274305,68290090
Q96MX6	0	chr2	-	68356937	68384659	68358577,68361931,68364565,68365989,68368927,68371847,68374699	68361834,68364431,68365874,68368826,68371717,68374599,68384393
Q9NRX1	0	chr2	+	68385020	68403370	68385273,68385661,68388898,68389457,68389795,68400549	68385512,68388815,68389397,68389678,68400479,68401867
P63098	0	chr2	-	68405989	68479664	68408142,68413784,68414446,68415822,68444263	68413600,68414387,68415646,68444224,68479257
Q96F85	0	chr2	-	68520142	68547081	68521158,68544439	68544289,68546354
P08567	0	chr2	+	68592414	68624585	68592525,68607615,68608036,68609765,68613818,68615623,68620377,68621308	68607460,68607855,68609674,68613634,68615519,68620294,68621239,68622812
Q5FWF7	0	chr2	-	68686554	68694426	68691502,68692310,68693602	68691972,68693276,68694343
Q8IW19	0	chr2	+	68694717	68807294	68694959,68717393,68730035,68740359,68740812,68753374,68765359,68772444,68794519	68717322,68729863,68740212,68740680,68753193,68765004,68772319,68794473,68804952
Q8TCW9	0	chr2	+	68870711	68885383	68870980,68873438	68872794,68882012
P42331	0	chr2	+	68961943	69053965	68962392,69002552,69009452,69015088,69034612,69040551,69043494,69045126,69046451,69050004	69002353,69009365,69014972,69034405,69040419,69043421,69045005,69046255,69049472,69053119
O95393	0	chr2	-	69088041	69098529	69093703	69098157
Q86XP6	0	chr2	-	69172364	69180025	69172582,69173592,69174389,69177395,69177887	69173436,69174279,69177258,69177834,69179982
Q9NS71	0	chr2	+	69201768	69208108	69201821,69204680,69204906,69206113,69207192	69204627,69204769,69206003,69207045,69207861
Q9H6X2	0	chr2	+	69240311	69476459	69240783,69267247,69271945,69297860,69298919,69300233,69302790,69304620,69318051,69330072,69350218,69351775,69379396,69397421,69409013,69409792,69420547	69267176,69271874,69297779,69298886,69300154,69302722,69304540,69317991,69329974,69350149,69351697,69379301,69397380,69408918,69409625,69420467,69472357
Q06210	0	chr2	-	69546912	69614359	69553365,69554207,69555570,69556556,69556930,69565187,69565697,69569381,69573131,69575466,69577315,69581444,69581700,69583689,69585595,69586458,69590802,69597240,69601245	69554046,69555403,69556429,69556816,69565030,69565577,69569284,69573036,69575303,69577210,69581391,69581621,69583628,69585461,69586400,69590677,69597133,69601138,69614197
Q9UMS0	0	chr2	-	69623258	69664567	69623422,69627670,69633214,69642431,69646736,69650849,69659137	69627496,69633154,69642317,69646670,69650714,69659034,69664493
Q2M2I8	0	chr2	-	69685129	69870871	69703095,69704122,69706193,69708093,69709944,69723212,69732805,69734710,69736592,69741881,69746372,69748120,69752244,69754451,69757272,69757838,69759294,69769797,69771676,69784110,69870406	69704012,69706083,69707992,69709843,69723117,69732701,69734553,69736363,69741603,69746086,69747966,69752165,69754348,69757140,69757757,69759173,69769655,69771568,69783992,69870010,69870707
P09525	0	chr2	+	69969266	70054244	69969307,70008706,70015273,70031759,70033630,70035128,70037805,70039841,70043326,70045826,70046470,70047953	70008652,70015186,70031665,70033517,70035038,70037726,70039785,70043233,70045731,70046412,70047831,70052588
Q96IK5	0	chr2	+	70056792	70108516	70057284,70064802,70066685,70068171,70070393,70071328,70074759,70076874,70082092,70088479,70092107,70096996,70098964	70064679,70066589,70068074,70070281,70071263,70074675,70076784,70081955,70088410,70092032,70096851,70098877,70106041
Q8WVK2	0	chr2	+	70121088	70132368	70121150,70122346,70123680,70124588,70130377	70122226,70123568,70124509,70130313,70131386
Q05195	0	chr2	+	70142241	70170077	70142535,70143352,70148897,70162597,70164526	70143253,70148868,70162483,70164367,70165229
Q53RT3	0	chr2	-	70187221	70188763		
Q53SS8	0	chr2	+	70314609	70316335		
Q9NWW7	0	chr2	-	70377017	70418151	70377696,70387919,70392324,70392767,70396793,70402909,70406774,70409129,70410067	70387757,70392224,70392660,70396689,70402805,70406664,70408295,70409799,70418105
P31483	0	chr2	-	70436576	70475760	70439977,70441626,70442626,70443424,70443631,70444126,70451761,70454954,70456223,70456450,70457986,70463307	70441481,70442503,70443340,70443536,70444018,70451686,70454867,70456191,70456396,70457888,70463211,70475537
Q9UHG3	0	chr2	+	70485269	70508317	70485408,70486698,70488518,70502302,70502798	70486492,70488344,70502091,70502646,70503866
P62308	0	chr2	-	70508494	70520872	70508816,70515324,70516504	70515200,70516482,70520750
E7EQY1	0	chr2	-	70523108	70529199	70524609,70528112	70527972,70528736
P01135	0	chr2	-	70674416	70780958	70677998,70680459,70683620,70692868,70742044	70680350,70683471,70692748,70741991,70780860
P35612	0	chr2	-	70883916	70995332	70890867,70900138,70901957,70904017,70905009,70906093,70910899,70915254,70918061,70919684,70922933,70923528,70931591,70933574,70940316	70900010,70901810,70903928,70904890,70905836,70910723,70915156,70917918,70919535,70922853,70923377,70931453,70933358,70940198,70995018
Q6QHK4	0	chr2	-	71004442	71017775	71004514,71004803,71012771,71014933	71004769,71012547,71014781,71017540
Q8N1N0	0	chr2	-	71035775	71047731	71036514,71036989,71039730,71044244,71046576,71047023	71036871,71039579,71043126,71046487,71046907,71047595
Q9UJ71	0	chr2	-	71057342	71062946	71058331,71058950,71060182,71061151,71062738	71058832,71060031,71060777,71062622,71062834
Q9UIW0	0	chr2	+	71127706	71160576	71127998,71148415	71148228,71159897
P15313	0	chr2	+	71163030	71192561	71163202,71170843,71185274,71185556,71186225,71187208,71188152,71188823,71190030,71190442,71190784,71191672,71191995	71170788,71185176,71185463,71186148,71187069,71188051,71188726,71189907,71190292,71190702,71191568,71191866,71192088
U3KQ87	0	chr2	-	71166448	71222466	71169563,71216147,71216946,71219113,71220905	71216045,71216879,71218960,71220826,71221818
Q8N9V6	0	chr2	+	71205760	71212629	71205945,71206473,71206990,71209230,71209827	71206227,71206791,71209066,71209707,71211741
Q6UWH6	0	chr2	-	71213072	71222003	71215845,71216147,71216946,71219113,71220905	71216045,71216879,71218960,71220826,71221818
Q9UJ70	0	chr2	+	71295778	71306938	71295842,71297716,71297969,71298957,71299881,71300724,71302772,71303831,71304766	71297632,71297871,71298816,71299771,71300612,71302685,71303734,71304688,71305448
Q96PE7	0	chr2	-	71336817	71357359	71337252,71351673	71351336,71357310
O00566	0	chr2	+	71357764	71377231	71357884,71360706,71361235,71361927,71365761,71366992,71368499,71371668,71375236,71376583	71360028,71361078,71361756,71365620,71366925,71368362,71371558,71375129,71376353,71376996
Q9ULR5	0	chr2	-	71409868	71454233	71415665,71417151,71429730	71416975,71429582,71454058
Q14966	0	chr2	+	71558912	71662191	71559005,71577401,71582910,71590321,71591382,71592836,71595658,71597135,71607410,71607695,71623321,71625902,71626775,71627310,71627648,71629217,71631128,71632772,71633392,71635377,71645769,71651168,71651845,71654544,71655781,71658558,71660413	71575883,71582849,71590283,71591084,71592559,71595512,71597013,71607352,71607643,71623271,71625831,71626689,71627242,71627608,71629086,71631000,71632731,71633258,71635252,71645732,71649944,71651780,71653590,71655677,71658457,71660295,71661872
O75923	0	chr2	+	71680691	71913893	71681216,71708068,71709100,71730449,71739051,71741051,71742881,71743372,71744169,71747338,71748034,71753476,71755531,71762219,71762441,71766369,71776521,71778286,71778850,71780318,71781061,71783201,71789074,71791343,71795212,71795468,71797064,71797464,71797871,71801501,71816816,71817418,71825875,71827972,71828658,71829935,71838476,71838756,71839936,71840540,71871193,71883420,71886163,71887781,71891568,71892434,71894645,71895972,71896337,71896876,71901426,71906365,71908240,71909807	71708013,71709009,71730344,71738937,71740846,71742753,71743310,71744119,71747308,71747919,71753350,71755428,71762151,71762398,71766287,71776480,71778171,71778737,71780141,71780937,71783095,71788882,71791188,71795081,71795302,71796950,71797359,71797729,71801328,71816723,71817341,71825694,71827832,71828629,71829906,71838375,71838595,71839771,71840464,71871095,71883292,71886008,71887690,71891398,71892292,71894506,71895884,71896242,71896735,71901327,71906187,71908131,71909660,71913584
Q9NR63	0	chr2	-	72356367	72374991	72359748,72360436,72362045,72362548,72371342	72360152,72361890,72362273,72371118,72374760
Q9Y2D4	0	chr2	-	72403113	73053162	72406590,72411316,72562149,72606999,72692468,72707879,72719558,72722668,72723688,72725680,72727101,72740381,72741809,72742255,72786650,72802797,72945436,72958181,72958374,72960247,72968598	72411204,72562076,72606858,72692289,72707745,72719447,72722559,72723583,72725583,72727030,72740261,72741763,72742172,72786582,72802621,72945232,72958136,72958284,72960200,72968433,73052927
P35270	0	chr2	+	73114537	73119287	73114865,73115733	73115443,73118476
Q04741	0	chr2	+	73144648	73162020	73145501,73151622	73151438,73160916
Q8TD22	0	chr2	-	73169165	73298841	73172228,73188377,73195662,73198814,73215477,73226143,73227616,73228707,73247393,73249705,73250343,73268060,73285725	73188260,73195577,73198699,73215387,73226078,73227560,73228654,73247368,73249651,73250317,73267983,73285657,73298733
A0A1B0GTL5	0	chr2	-	73300510	73340076	73302852,73303310,73308791,73315877,73316443	73303121,73306779,73315178,73316007,73339475
A8MTQ0	0	chr2	+	73429702	73439641	73430176,73435742	73435528,73437899
Q6GMV2	0	chr2	+	73441373	73454349	73441490,73446097,73447318,73447910,73448362,73449058,73449945,73450234,73450660,73451131,73452088,73452829	73445989,73447179,73447789,73448293,73448954,73449883,73450164,73450554,73451075,73451994,73452759,73452924
Q9BSG0	0	chr2	-	73455138	73460367	73455702,73456090,73456698,73457341	73455923,73456589,73457241,73460222
Q99832	0	chr2	+	73461436	73480133	73461512,73466924,73467671,73470257,73471177,73471843,73475054,73476307,73477044,73477566,73478560	73466771,73467565,73470132,73471125,73471672,73474890,73476119,73476947,73477434,73478354,73479768
Q8TF61	0	chr2	-	73481818	73511606	73486172,73486424,73487675,73487986,73490436,73490958,73491181,73491647,73492768,73493094,73493810,73496896	73486309,73487517,73487868,73490341,73490806,73491066,73491406,73492410,73493021,73493585,73495854,73511288
A0A0C4DG96	0	chr2	-	73518057	73520676	73519909	73520310
Q8TCU4	0	chr2	+	73612964	73837043	73613320,73635875,73646446,73650102,73652030,73653681,73659419,73681194,73682422,73718625,73747143,73762076,73777564,73784481,73786269,73800551,73826648,73828008,73828563,73829495,73830431,73835701	73635750,73646251,73649985,73651558,73653581,73659326,73675090,73682289,73716761,73746902,73761951,73777394,73784347,73786099,73799389,73826528,73827805,73828322,73829312,73830368,73835602,73836695
Q9UHE5	0	chr2	-	73867850	73869549	73868829	73869445
Q9Y3C4	0	chr2	-	73957000	73964472	73957156,73957863,73959412,73961718	73957687,73959290,73961556,73964429
O75319	0	chr2	-	73989340	74007230	73989986,73993721,73994030,73994334,73996452,74001050,74002171,74005503	73993545,73993955,73994288,73996392,74000927,74002040,74005428,74007001
A6NCI8	0	chr2	+	74011310	74044275	74011533,74041353	74040604,74042198
O95630	0	chr2	+	74056088	74094295	74056637,74058186,74072015,74072389,74074880,74076614,74077640,74086493,74087278	74057972,74071940,74072294,74074514,74076490,74077503,74086381,74087179,74089330
P63267	0	chr2	+	74120135	74146992	74120178,74128564,74129615,74135910,74136266,74140773,74141998,74143892	74128403,74129487,74135800,74136182,74140612,74141807,74143711,74146559
Q16854	0	chr2	+	74154007	74186073	74154179,74166149,74174033,74177859,74184367,74185372	74166037,74173846,74177712,74184252,74185273,74185837
O43151	0	chr2	+	74212037	74335303	74212284,74213833,74230293,74275538,74300766,74307718,74315165,74317174,74320118,74320793,74326739	74213107,74230237,74273405,74300676,74307625,74314957,74317024,74320029,74320656,74326403,74327520
Q53S33	0	chr2	-	74362527	74375039	74362785,74369487,74372430	74369399,74372316,74374948
Q9H8S9	0	chr2	-	74379655	74406006	74383772,74386381,74392478,74394234,74399879	74386218,74392345,74394141,74399713,74405788
P13995	0	chr2	+	74425742	74444692	74425869,74433016,74434953,74435848,74437176,74438418,74438993	74432832,74434831,74435696,74437069,74438326,74438868,74441206
Q9BY07	0	chr2	-	74443369	74570543	74445919,74448628,74450079,74452122,74454257,74455005,74458435,74459774,74460690,74462341,74466662,74469179,74474434,74475613,74477644,74479515,74480255,74481833,74483059,74486770,74489359,74491426,74492391,74513029,74531807,74542152,74555313,74561304,74566030,74569661	74448561,74449995,74451967,74454084,74454937,74458363,74459596,74460529,74462228,74466462,74469121,74474163,74475480,74477470,74479306,74480101,74481746,74482902,74486715,74489264,74491274,74492231,74512900,74531616,74542072,74555247,74561154,74565982,74569585,74570483
Q14203	0	chr2	-	74588282	74607438	74588763,74589268,74589856,74590304,74590554,74590755,74592368,74592784,74593145,74593502,74593747,74594059,74594234,74594547,74594991,74595258,74596007,74596341,74596618,74597196,74597472,74597671,74597952,74598303,74598855,74600075,74601467,74603889,74604593,74604853,74605372	74589179,74589777,74590121,74590421,74590741,74592202,74592642,74593020,74593371,74593586,74593910,74594172,74594479,74594823,74595098,74595855,74596225,74596427,74597092,74597313,74597593,74597748,74598106,74598664,74600055,74601450,74603869,74604559,74604775,74605127,74607132
A0A804HJ35	0	chr2	-	74641304	74648746	74643054,74643368	74643138,74648670
Q9H977	0	chr2	+	74648857	74652882	74648943,74649502,74650059,74650512,74650658,74651109,74652102,74652364,74652618	74649280,74649997,74650446,74650605,74650982,74652002,74652202,74652544,74652697
Q9BST9	0	chr2	-	74652962	74669064	74653701,74654400,74654719,74655523,74655864,74656069,74657164,74657496,74657645,74657804,74659793	74654296,74654551,74655395,74655758,74655975,74656955,74657379,74657592,74657743,74659594,74668833
Q9C086	0	chr2	+	74682214	74685071	74682301,74682725,74683063,74683399	74682533,74682945,74683230,74684461
Q96G27	0	chr2	+	74685565	74688008	74685798,74686872,74687176	74686770,74687000,74687348
Q13724	0	chr2	-	74688184	74692509	74690139,74690513,74691849	74690317,74691623,74692023
Q96EL3	0	chr2	-	74699109	74699807	74699379,74699597	74699485,74699696
Q17RM4	0	chr2	-	74699959	74710125	74701929,74702242,74702529,74702853,74708009,74708213,74708499,74708665	74702043,74702352,74702739,74707896,74708083,74708350,74708579,74708944
Q49AM3	0	chr2	+	74710208	74721686	74710262,74710537,74717254,74717600,74717866,74718311,74718502,74718799,74719182,74719356,74719572,74719874	74710449,74717152,74717371,74717783,74718255,74718422,74718608,74719131,74719266,74719431,74719773,74720049
Q6XYB7	0	chr2	-	74724644	74726730	74725445	74726460
Q9BSM1	0	chr2	-	74732170	74734822	74732317,74732546,74732765,74732897,74733184,74733379,74734011,74734274	74732466,74732679,74732864,74733079,74733308,74733859,74734169,74734703
O43763	0	chr2	+	74741577	74744275	74742333,74742997	74742760,74743100
Q8TE96	0	chr2	-	74745258	74753358	74745729,74746357,74746873,74747161,74749898,74750141,74750345,74750664,74751434,74752329,74752875	74746167,74746683,74747042,74749707,74749983,74750246,74750437,74751050,74752136,74752620,74753263
Q9Y679	0	chr2	-	74753779	74756833	74753963,74754186,74754490,74754717,74754965,74755133,74755448,74755616,74756062,74756409,74756626	74754068,74754375,74754598,74754863,74755067,74755375,74755544,74755878,74756259,74756489,74756707
O43464	0	chr2	+	74757060	74760446	74757639,74757948,74758232,74758498,74758829,74759052,74759841	74757744,74758038,74758466,74758724,74758983,74759746,74759947
P58215	0	chr2	-	74759385	74781069	74760806,74761120,74761363,74761558,74761901,74762581,74762882,74763277,74763598,74764055,74776710,74777475,74779773	74761009,74761227,74761443,74761658,74762419,74762715,74763123,74763418,74763836,74776496,74777312,74779449,74781003
Q99704	0	chr2	+	74781847	74784678	74781941,74782580,74782795,74783205	74782281,74782702,74783021,74783435
Q8TC57	0	chr2	-	74785010	74875457	74786001,74786836,74787418,74789550,74802706,74803745,74808974,74834350,74842276,74867454	74786825,74787278,74789344,74802565,74803583,74808801,74834182,74842091,74867163,74875392
O95754	0	chr2	+	74881374	74910968	74881648,74883812,74884751,74885078,74889952,74900703,74900955,74901803,74902162,74902511,74902761,74903036,74906461	74883661,74884692,74884980,74889859,74900584,74900804,74901625,74902015,74902289,74902652,74902876,74906403,74906726
P52789	0	chr2	+	75061254	75120486	75061770,75081582,75094911,75099546,75100498,75101070,75101576,75104448,75106048,75107696,75108986,75109366,75112716,75113520,75113800,75115185,75116605	75081420,75094763,75099427,75100403,75100971,75101393,75104293,75105815,75107392,75108838,75109247,75112621,75113421,75113617,75115030,75116372,75117924
Q9NR33	0	chr2	+	75185770	75197255	75186019,75186552,75187273	75186468,75187232,75196536
P25103	0	chr2	-	75273590	75426646	75276850,75278574,75280882,75347894	75278378,75280732,75347700,75425672
Q9H8M9	0	chr2	-	75719444	75788065	75720735,75745334,75749613	75745182,75749491,75787806
P49406	0	chr2	+	75873909	75889332	75874036,75874345,75879386,75879783,75882043	75874228,75879268,75879649,75881862,75882190
P16383	0	chr2	-	75889831	75938041	75891909,75893179,75897410,75899142,75900646,75907440,75915103,75916351,75917207,75917845,75919226,75921553,75923441,75928413,75929549,75933777	75893055,75897264,75899076,75900570,75907319,75914953,75916152,75917095,75917764,75919103,75921367,75923326,75928316,75929325,75933649,75937717
Q86VH4	0	chr2	-	76974811	77749502	76976042,77746990,77748944	77745444,77748794,77749235
Q6UW15	0	chr2	+	79252828	79255627	79252899,79253295,79253957,79254297,79255059	79253109,79253839,79254160,79254933,79255335
Q6ICS1	0	chr2	-	79312149	79315119	79312409,79312729,79313630,79314056,79314784	79312618,79313493,79313938,79314675,79315085
P05451	0	chr2	+	79347614	79350535	79347640,79348051,79348806,79349251,79350078	79347942,79348688,79349114,79349967,79350274
Q53S56	0	chr2	-	79384132	79386879	79384419,79384824,79385589,79385895,79386565	79384698,79385452,79385777,79386456,79386854
P26232	0	chr2	+	79740177	80875905	79740333,79878784,79971708,80085305,80097061,80101468,80136923,80620416,80646726,80772199,80773188,80783018,80801439,80808944,80816610,80831304,80835443,80846353	79878678,79971513,80085139,80096942,80101202,80136720,80620336,80646574,80772107,80773032,80782818,80801288,80808831,80816429,80831199,80835309,80846210,80874710
Q86UE6	0	chr2	-	80529003	80531877	80531003	80531277
P53597	0	chr2	-	84650652	84686404	84650896,84652727,84658783,84660559,84668228,84668583,84670524,84676876	84652539,84658632,84660476,84668171,84668371,84670408,84676773,84686297
Q9C0G6	0	chr2	+	84743622	85046713	84743707,84745175,84752862,84756290,84771624,84774526,84774736,84775541,84777181,84780158,84785059,84800711,84804532,84806803,84811374,84816078,84821209,84822913,84831675,84832716,84834219,84838978,84844106,84847028,84848479,84848675,84851514,84851744,84852187,84861765,84864501,84867702,84869178,84880998,84881906,84885598,84886293,84896634,84897599,84899608,84904260,84908652,84912596,84913681,84915717,84921604,84924851,84926858,84928463,84930686,84931426,84932871,84934143,84934840,84936670,84937536,84940383,84942751,84945508,84949928,84955026,84960703,84972373,84990069,85008777,85011934,85012880,85014426,85023549,85024782,85032918,85035666,85039650,85040254,85041246,85043207	84744943,84752689,84756028,84771357,84774392,84774616,84775412,84777013,84780042,84784859,84800591,84804381,84806651,84811123,84815950,84821096,84822770,84831463,84832624,84834100,84838798,84844010,84846809,84848315,84848562,84851389,84851589,84852026,84861628,84864334,84867554,84869071,84880443,84881784,84885416,84886150,84896413,84897452,84899451,84904129,84908481,84912450,84913608,84915563,84921373,84924699,84926718,84928221,84930519,84931191,84932610,84934020,84934644,84936467,84937411,84940219,84942684,84945328,84949749,84954793,84960568,84972204,84989879,85008617,85011846,85012734,85014288,85023430,85024661,85032789,85035539,85039465,85040182,85041095,85042985,85046429
Q86V40	0	chr2	-	85048790	85108208	85049224,85051328,85059269,85066447,85069131,85097909	85051077,85059179,85066273,85068985,85097349,85108056
P63313	0	chr2	+	85132780	85133795	85132842,85133241	85133127,85133513
Q9P0J7	0	chr2	+	85198284	85286595	85198590,85255179,85262278,85270788,85273401,85276771	85255012,85262139,85270687,85273227,85276489,85280271
Q9HCS4	0	chr2	+	85360515	85537510	85361056,85361202,85361573,85510701,85529739,85531120,85531461,85532526,85533488,85533682,85534840	85361139,85361446,85510618,85529607,85531018,85531378,85532383,85533329,85533575,85534765,85536152
O43493	0	chr2	-	85545150	85555112	85549864,85552121,85554808	85552038,85553631,85555040
Q6NUM9	0	chr2	-	85569078	85581651	85570504,85570921,85571288,85571471,85571855,85573217,85576704,85577364,85578144,85578985	85570762,85571122,85571362,85571717,85573098,85576507,85577163,85577903,85578803,85581459
Q96FG2	0	chr2	+	85581892	85618871	85581952,85582293,85582721,85584375,85589383,85590289,85595877,85596953,85598332,85598685,85604597,85616950,85617388	85582199,85582678,85584090,85589309,85590220,85595809,85596862,85598209,85598563,85604467,85616874,85617261,85617883
V9HW69	0	chr2	-	85621876	85637489	85622081,85622749,85625275,85625905,85626408,85628452,85628806,85629080,85629281	85622661,85625143,85625813,85626259,85628288,85628652,85628908,85629246,85637440
A0A8I5KXG6	0	chr2	+	85645837	85664152	85646053,85646367,85649437,85649613,85649813,85652530,85655820,85656591,85656735,85657138,85657557,85657775,85658391,85659082,85660244,85660754,85661234,85661493,85661620,85662246,85662619,85662947,85663717	85646152,85649326,85649553,85649719,85652431,85655707,85656495,85656710,85657104,85657487,85657661,85658333,85659022,85660222,85660694,85661156,85661463,85661596,85662188,85662536,85662789,85663589,85663960
P31153	0	chr2	+	85766291	85772404	85766501,85768283,85768500,85768868,85769095,85769496,85769870,85770157	85768206,85768378,85768756,85768952,85769278,85769688,85770024,85770793
P38435	0	chr2	-	85771843	85788616	85777249,85777873,85778195,85778733,85779104,85779690,85780193,85780620,85781429,85782713,85783383,85785728,85786198,85788108	85777678,85778048,85778603,85778935,85779539,85780062,85780355,85781266,85782607,85783305,85785563,85786040,85787938,85788509
Q9BV40	0	chr2	+	85804709	85809154	85804772,85806290	85806132,85808699
Q6FG93	0	chr2	+	85811554	85820529	85811616,85818985	85818848,85820071
Q9P0P0	0	chr2	+	85822868	85824831	85822972,85823772,85824054,85824301	85823642,85823945,85824227,85824568
Q86TG1	0	chr2	-	85825670	85829821	85826440,85826825,85827141,85827535,85828230,85828605,85829187	85826648,85827014,85827468,85828144,85828558,85829007,85829730
Q2NKX9	0	chr2	-	85832377	85839189	85836190,85836709,85838909	85836558,85838791,85839001
Q53GS9	0	chr2	+	85843309	85876406	85843586,85846412,85848702,85850905,85852814,85858069,85863253,85864559,85866514,85868241,85872206,85875139	85846343,85848608,85850769,85852662,85857844,85863176,85864492,85866326,85868099,85872071,85875053,85875884
P07988	0	chr2	-	85884437	85895322	85886805,85888658,85889232,85890614,85890970,85892501,85892917,85893865,85894300,85894929	85888577,85889152,85890469,85890787,85892412,85892729,85893740,85894229,85894802,85895240
P22749	0	chr2	+	85921481	85925975	85921593,85922546,85923179,85924800	85922443,85923081,85924629,85925687
Q96SQ7	0	chr2	+	85981114	86018506	85982080,85991305	85991114,86014008
Q9UNP4	0	chr2	-	86064243	86116113	86067515,86071677,86073686,86075327,86088415,86090608	86071519,86073500,86074984,86088304,86090485,86115947
O95602	0	chr2	-	86247339	86333009	86254646,86255172,86255834,86257519,86258758,86259505,86260910,86265980,86266585,86267682,86269226,86270318,86271427,86272483,86272892,86274386,86276165,86276365,86280123,86281412,86292588,86297395,86302383,86305104,86305407,86308101,86308829,86310291,86315792,86315993,86317052,86325883,86327295	86255008,86255717,86257319,86258453,86259395,86260784,86265823,86266450,86267515,86269012,86270097,86271262,86272401,86272740,86274288,86276007,86276283,86279940,86281263,86292397,86297141,86302153,86304982,86305237,86307939,86308724,86310205,86315689,86315908,86316945,86325734,86327091,86332823
Q96EY7	0	chr2	+	86333358	86369280	86333474,86335525,86335659,86338281,86343721,86344282,86346167,86348717,86350885,86352205,86352638,86353003,86354428,86355114,86357860,86358229,86359547,86360379,86360559,86361500,86362110,86363685,86364263	86335473,86335623,86338236,86343653,86344178,86346044,86348602,86350824,86352118,86352578,86352918,86354284,86355064,86357771,86358201,86359441,86360301,86360469,86361415,86361962,86363644,86364105,86364592
